architecture,score
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0773862898349762
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006368398317135
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""tanh"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007971496670506
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0009779520332813
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007653313223272
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0796743854880333
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0025660279206931
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0027371631003916
"{""layers"": [{""activation"": ""sigmoid"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0773878023028373
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""relu"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0781119912862777
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""rnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007542085950262
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""lstm""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0007058312185108
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0012415961828082
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0768195018172264
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 10, ""type"": ""cnn""}]}",0.0763419643044471
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0008013030746951
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0006734308553859
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""sigmoid"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0010221753036603
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0012517152354121
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 40, ""type"": ""gru""}]}",0.0012056732084602
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 20, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0004590861208271
"{""layers"": [{""activation"": ""tanh"", ""neurons"": 100, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0016910297563299
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""sigmoid"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0005832703318446
"{""layers"": [{""activation"": ""relu"", ""neurons"": 90, ""type"": ""gru""}, {""activation"": ""relu"", ""neurons"": 50, ""type"": ""cnn""}, {""activation"": ""relu"", ""neurons"": 60, ""type"": ""gru""}, {""activation"": ""tanh"", ""neurons"": 50, ""type"": ""lstm""}]}",0.0003860808210447
